Andorra la Vella;Capital of Andorra;42.50779;1.52109
Abu Dhabi;Capital of the United Arab Emirates;24.46667;54.36667
Kabul;Capital of Afghanistan;34.52813;69.17233
Saint John’s;Capital of Antigua and Barbuda;17.11667;-61.85
The Valley;Capital of Anguilla;18.21704;-63.05783
Tirana;Capital of Albania;41.3275;19.81889
Yerevan;Capital of Armenia;40.18111;44.51361
Luanda;Capital of Angola;-8.83682;13.23432
Pago Pago;Capital of American Samoa;-14.27806;-170.7025
Vienna;Capital of Austria;48.20849;16.37208
Canberra;Capital of Australia;-35.28346;149.12807
Oranjestad;Capital of Aruba;12.52398;-70.02703
Mariehamn;Capital of the Åland Islands;60.09726;19.93481
Baku;Capital of Azerbaijan;40.37767;49.89201
Sarajevo;Capital of Bosnia and Herzegovina;43.84864;18.35644
Bridgetown;Capital of Barbados;13.1;-59.61667
Dhaka;Capital of Bangladesh;23.7104;90.40744
Brussels;Capital of Belgium;50.85045;4.34878
Ouagadougou;Capital of Burkina Faso;12.36423;-1.53834
Sofia;Capital of Bulgaria;42.69751;23.32415
Manama;Capital of Bahrain;26.21536;50.5832
Bujumbura;Capital of Burundi;-3.3822;29.3644
Porto-Novo;Capital of Benin;6.49646;2.60359
Gustavia;Capital of Saint Barthélemy;17.89618;-62.84978
Hamilton;Capital of Bermuda;32.29149;-64.77797
Bandar Seri Begawan;Capital of Brunei;4.94029;114.94806
Sucre;Capital of Bolivia;-19.03332;-65.26274
La Paz;Capital of Bolivia;-16.5;-68.15
Brasília;Capital of Brazil;-15.77972;-47.92972
Nassau;Capital of Bahamas;25.05823;-77.34306
Thimphu;Capital of Bhutan;27.46609;89.64191
Gaborone;Capital of Botswana;-24.65451;25.90859
Minsk;Capital of Belarus;53.9;27.56667
Belmopan;Capital of Belize;17.25;-88.76667
Ottawa;Capital of Canada;45.41117;-75.69812
West Island;Capital of the Cocos Islands;-12.15681;96.82251
Kinshasa;Capital of Democratic Republic of the Congo;-4.32459;15.32146
Bangui;Capital of Central African Republic;4.36122;18.55496
Brazzaville;Capital of Republic of the Congo;-4.26583;15.28318
Bern;Capital of Switzerland;46.94809;7.44744
Yamoussoukro;Capital of Ivory Coast;6.82055;-5.27674
Avarua;Capital of the Cook Islands;-21.20778;-159.775
Santiago;Capital of Chile;-33.45694;-70.64827
Yaoundé;Capital of Cameroon;3.86667;11.51667
Bogotá;Capital of Colombia;4.60971;-74.08175
San José;Capital of Costa Rica;9.93333;-84.08333
Havana;Capital of Cuba;23.13302;-82.38304
Praia;Capital of Cape Verde;14.92148;-23.50868
Willemstad;Capital of Curaçao;12.1084;-68.93354
Flying Fish Cove;Capital of the Christmas Island;-10.42172;105.67912
Nicosia;Capital of Cyprus;35.16667;33.36667
Prague;Capital of Czech Republic;50.08804;14.42076
Berlin;Capital of Germany;52.52437;13.41053
Djibouti;Capital of Djibouti;11.58767;43.14468
Roseau;Capital of Dominica;15.30174;-61.38808
Santo Domingo;Capital of Dominican Republic;18.50012;-69.98857
Algiers;Capital of Algeria;36.7525;3.04197
Quito;Capital of Ecuador;-0.22985;-78.52495
Tallinn;Capital of Estonia;59.43696;24.75353
Cairo;Capital of Egypt;30.06263;31.24967
Laâyoune / El Aaiún;Capital of Western Sahara;27.16224;-13.20315
Asmara;Capital of Eritrea;15.33333;38.93333
Madrid;Capital of Spain;40.4165;-3.70256
Addis Ababa;Capital of Ethiopia;9.02497;38.74689
Helsinki;Capital of Finland;60.16952;24.93545
Suva;Capital of Fiji;-18.14161;178.44149
Stanley;Capital of the Falkland Islands;-51.7;-57.85
Palikir - National Government Center;Capital of Micronesia;6.92477;158.16109
Tórshavn;Capital of the Faroe Islands;62.00973;-6.77164
Paris;Capital of France;48.85341;2.3488
Libreville;Capital of Gabon;0.3925;9.45365
London;Capital of the United Kingdom;51.50853;-0.12574
Saint George's;Capital of Grenada;12.05644;-61.74849
Tbilisi;Capital of Georgia;41.69411;44.83368
Cayenne;Capital of French Guiana;4.93333;-52.33333
Saint Peter Port;Capital of Guernsey;49.45981;-2.53527
Accra;Capital of Ghana;5.55602;-0.1969
Gibraltar;Capital of Gibraltar;36.14474;-5.35257
Nuuk;Capital of Greenland;64.18347;-51.72157
Banjul;Capital of Gambia;13.45274;-16.57803
Conakry;Capital of Guinea;9.53795;-13.67729
Basse-Terre;Capital of Guadeloupe;15.99854;-61.72548
Malabo;Capital of Equatorial Guinea;3.75;8.78333
Athens;Capital of Greece;37.97945;23.71622
Grytviken;Capital of South Georgia and the South Sandwich Islands;-54.28111;-36.5092
Guatemala City;Capital of Guatemala;14.64072;-90.51327
Hagåtña;Capital of Guam;13.47567;144.74886
Bissau;Capital of Guinea-Bissau;11.86357;-15.59767
Georgetown;Capital of Guyana;6.80448;-58.15527
Hong Kong;Capital of Hong Kong;22.28552;114.15769
Tegucigalpa;Capital of Honduras;14.0818;-87.20681
Zagreb;Capital of Croatia;45.81444;15.97798
Port-au-Prince;Capital of Haiti;18.53917;-72.335
Jakarta;Capital of Indonesia;-6.21462;106.84513
Dublin;Capital of Ireland;53.33306;-6.24889
Douglas;Capital of Isle of Man;54.15;-4.48333
New Delhi;Capital of India;28.63576;77.22445
Baghdad;Capital of Iraq;33.34058;44.40088
Tehrān;Capital of Iran;35.69439;51.42151
Reykjavík;Capital of Iceland;64.13548;-21.89541
Roma;Capital of Italy;41.89474;12.4839
Saint Helier;Capital of Jersey;49.18804;-2.10491
Kingston;Capital of Jamaica;17.99702;-76.79358
Amman;Capital of Jordan;31.95522;35.94503
Tokyo;Capital of Japan;35.6895;139.69171
Nairobi;Capital of Kenya;-1.28333;36.81667
Bishkek;Capital of Kyrgyzstan;42.87;74.59
Phnom Penh;Capital of Cambodia;11.56245;104.91601
Tarawa;Capital of Kiribati;1.3278;172.97696
Moroni;Capital of Comoros;-11.70216;43.25506
Basseterre;Capital of Saint Kitts and Nevis;17.29484;-62.7261
Pyongyang;Capital of North Korea;39.03385;125.75432
Seoul;Capital of South Korea;37.56826;126.97783
Kuwait;Capital of Kuwait;29.36972;47.97833
George Town;Capital of the Cayman Islands;19.28692;-81.36706
Astana;Capital of Kazakhstan;51.1801;71.44598
Vientiane;Capital of Laos;17.96667;102.6
Beirut;Capital of Lebanon;33.88894;35.49442
Castries;Capital of Saint Lucia;13.9957;-61.00614
Vaduz;Capital of Liechtenstein;47.14151;9.52154
Colombo;Capital of Sri Lanka;6.93194;79.84778
Monrovia;Capital of Liberia;6.30054;-10.7969
Maseru;Capital of Lesotho;-29.31667;27.48333
Vilnius;Capital of Lithuania;54.68916;25.2798
Luxembourg;Capital of Luxembourg;49.61167;6.13
Riga;Capital of Latvia;56.946;24.10589
Tripoli;Capital of Libya;32.87519;13.18746
Rabat;Capital of Morocco;34.01325;-6.83255
Monaco;Capital of Monaco;43.73333;7.41667
Chişinău;Capital of Moldova;47.00556;28.8575
Podgorica;Capital of Montenegro;42.44111;19.26361
Marigot;Capital of Saint Martin;18.06667;-63.08333
Antananarivo;Capital of Madagascar;-18.91368;47.53613
Majuro;Capital of the Marshall Islands;7.08971;171.38027
Skopje;Capital of Macedonia;42;21.43333
Bamako;Capital of Mali;12.65;-8
Nay Pyi Taw;Capital of Myanmar;19.745;96.12972
Ulaanbaatar;Capital of Mongolia;47.90771;106.88324
Macau;Capital of Macao;22.20056;113.54611
Saipan;Capital of the Northern Mariana Islands;15.21233;145.7545
Fort-de-France;Capital of Martinique;14.60892;-61.07334
Nouakchott;Capital of Mauritania;18.08581;-15.9785
Plymouth;Capital of Montserrat;16.70555;-62.21292
Valletta;Capital of Malta;35.89972;14.51472
Port Louis;Capital of Mauritius;-20.16194;57.49889
Male;Capital of Maldives;4.1748;73.50888
Lilongwe;Capital of Malawi;-13.96692;33.78725
Kuala Lumpur;Capital of Malaysia;3.1412;101.68653
Maputo;Capital of Mozambique;-25.96528;32.58917
Windhoek;Capital of Namibia;-22.55941;17.08323
Nouméa;Capital of New Caledonia;-22.27631;166.4572
Niamey;Capital of Niger;13.51366;2.1098
Kingston;Capital of Norfolk Island;-29.05459;167.96628
Abuja;Capital of Nigeria;9.05735;7.48976
Managua;Capital of Nicaragua;12.13282;-86.2504
Oslo;Capital of Norway;59.91273;10.74609
Kathmandu;Capital of Nepal;27.70169;85.3206
Alofi;Capital of Niue;-19.05952;-169.91867
Wellington;Capital of New Zealand;-41.28664;174.77557
Muscat;Capital of Oman;23.61387;58.5922
Panamá;Capital of Panama;8.9936;-79.51973
Lima;Capital of Peru;-12.04318;-77.02824
Papeete;Capital of French Polynesia;-17.53333;-149.56667
Port Moresby;Capital of Papua New Guinea;-9.44314;147.17972
Manila;Capital of Philippines;14.6042;120.9822
Islamabad;Capital of Pakistan;33.72148;73.04329
Warsaw;Capital of Poland;52.22977;21.01178
Saint-Pierre;Capital of Saint Pierre and Miquelon;46.76544;-56.16949
Adamstown;Capital of Pitcairn;-25.06597;-130.10147
San Juan;Capital of Puerto Rico;18.46633;-66.10572
Lisbon;Capital of Portugal;38.71667;-9.13333
Melekeok - Palau State Capital;Capital of Palau;7.50043;134.62355
Asunción;Capital of Paraguay;-25.30066;-57.63591
Doha;Capital of Qatar;25.27932;51.52245
Saint-Denis;Capital of Reunion;-20.88231;55.4504
Bucharest;Capital of Romania;44.43225;26.10626
Belgrade;Capital of Serbia;44.80401;20.46513
Moscow;Capital of Russia;55.75222;37.61556
Kigali;Capital of Rwanda;-1.94995;30.05885
Riyadh;Capital of Saudi Arabia;24.68773;46.72185
Honiara;Capital of the Solomon Islands;-9.43333;159.95
Victoria;Capital of Seychelles;-4.61667;55.45
Khartoum;Capital of Sudan;15.55177;32.53241
Stockholm;Capital of Sweden;59.33258;18.0649
Singapore;Capital of Singapore;1.28967;103.85007
Jamestown;Capital of Saint Helena;-15.93872;-5.71675
Ljubljana;Capital of Slovenia;46.05108;14.50513
Longyearbyen;Capital of Svalbard and Jan Mayen;78.2186;15.64007
Freetown;Capital of Sierra Leone;8.484;-13.22994
San Marino;Capital of San Marino;43.93333;12.45
Dakar;Capital of Senegal;14.6937;-17.44406
Mogadishu;Capital of Somalia;2.03711;45.34375
Paramaribo;Capital of Suriname;5.86638;-55.16682
Juba;Capital of South Sudan;4.85165;31.58247
São Tomé;Capital of Sao Tome and Principe;0.33654;6.72732
San Salvador;Capital of El Salvador;13.68935;-89.18718
Philipsburg;Capital of Sint Maarten;18.026;-63.04582
Damascus;Capital of Syria;33.5102;36.29128
Mbabane;Capital of Swaziland;-26.31667;31.13333
Cockburn Town;Capital of the Turks and Caicos Islands;21.46122;-71.14188
N'Djamena;Capital of Chad;12.10672;15.0444
Port-aux-Français;Capital of French Southern Territories;-49.35;70.21667
Lomé;Capital of Togo;6.13748;1.21227
Bangkok;Capital of Thailand;13.75398;100.50144
Dushanbe;Capital of Tajikistan;38.53575;68.77905
Dili;Capital of East Timor;-8.55861;125.57361
Ashgabat;Capital of Turkmenistan;37.95;58.38333
Tunis;Capital of Tunisia;36.81897;10.16579
Nuku‘alofa;Capital of Tonga;-21.13333;-175.2
Ankara;Capital of Turkey;39.91987;32.85427
Port-of-Spain;Capital of Trinidad and Tobago;10.66617;-61.51657
Funafuti;Capital of Tuvalu;-8.52425;179.19417
Taipei;Capital of Taiwan;25.04776;121.53185
Dodoma;Capital of Tanzania;-6.17221;35.73947
Kiev;Capital of Ukraine;50.45466;30.5238
Kampala;Capital of Uganda;0.31628;32.58219
Washington, D. C.;Capital of the United States;38.89511;-77.03637
Montevideo;Capital of Uruguay;-34.83346;-56.16735
Tashkent;Capital of Uzbekistan;41.26465;69.21627
Vatican City;Capital of Vatican;41.90236;12.45332
Kingstown;Capital of Saint Vincent and the Grenadines;13.15872;-61.22475
Caracas;Capital of Venezuela;10.48801;-66.87919
Road Town;Capital of the British Virgin Islands;18.41667;-64.61667
Charlotte Amalie;Capital of the U.S. Virgin Islands;18.3419;-64.9307
Hà Nội;Capital of Vietnam;21.0245;105.84117
Port-Vila;Capital of Vanuatu;-17.73381;168.32188
Mata-Utu;Capital of Wallis and Futuna;-13.28163;-176.17453
Apia;Capital of Samoa;-13.83333;-171.76666
Pristina;Capital of Kosovo;42.67272;21.16688
Sanaa;Capital of Yemen;15.35472;44.20667
Mamoudzou;Capital of Mayotte;-12.77944;45.22722
Pretoria;Capital of South Africa;-25.74486;28.18783
Lusaka;Capital of Zambia;-15.40669;28.28713
Harare;Capital of Zimbabwe;-17.82935;31.05389